_id	sortNum	visible	status	type	menuName	parentId	component	icon	createBy	createAt	updateAt	__v	updateBy	path	componentName	isCache	perms	query
6811053ba028615a9c1c55ef	1	true	true	菜单	日志管理	6572908506396f128b6128ba	/apiLog/index	el-icon-document		2025-04-29 16:58:35.611	2025-04-29 16:58:35.612	0		/apiLog/index	apiLog	true		
674d8c5fa685db9420c7c4ac	1	true	true	菜单	生产工艺	674c1ff3d9732efb4a7f936e	/craft/index	el-icon-scissors		2024-12-02 10:30:55.395	2024-12-02 10:30:55.395	0		/craft/index	craft	true		
6572908506396f128b6128ba	7	true	true	目录	系统管理			el-icon-s-tools	null	2023-12-08 03:41:57.683	2023-12-08 03:41:57.684	0		/system				
674c1ff3d9732efb4a7f936e	2	true	true	目录	生产管理			el-icon-tickets		2024-12-01 08:36:03.116	2024-12-01 08:36:03.116	0		/productionManagement				
67505f46a7da039e2357295a	3	true	true	目录	产线管理			el-icon-camera-solid		2024-12-04 13:55:18.44	2024-12-04 13:55:18.44	0		/scanBarCode/index				
67527c0f105643b663849c85	1	true	true	目录	金蝶云数据			el-icon-s-unfold		2024-12-06 04:22:39.396	2024-12-06 04:22:39.396	0		/saleOrder				
67557acb272cd0e6dc5454ac	1	true	true	目录	设备管理			el-icon-cpu		2024-12-08 10:54:03.232	2024-12-08 10:54:03.232	0		/equipmentInformation				
67701c87d3fd70ffd0821a13	1	true	true	目录	仓库管理			el-icon-box		2024-12-28 15:43:03.693	2024-12-28 15:43:03.693	0		/warehouse				
6773b7465dd8c2a97b1fa0e7	1	true	true	目录	产品追溯			el-icon-document-copy		2024-12-31 09:20:06.115	2024-12-31 09:20:06.115	0		/materialProcessFlow				
6781e645978a446bf6980b7d	1	true	true	目录	基础设置		/setting	el-icon-edit		2025-01-11 03:32:21.281	2025-01-11 03:32:21.281	0		/setting				
67ce37045ffb1486ac8ed84a	1	true	true	目录	品质成品抽检			el-icon-s-claim		2025-03-10 00:49:08.399	2025-03-10 00:49:08.399	0		/Quality				
67cfe0443badf828ad4f1a58	1	true	true	目录	客户条码			el-icon-s-order		2025-03-11 07:03:32.955	2025-03-11 07:03:32.955	0		/udiDataManagement				
